incidentid,age,age category ,gender,race,schoolaffiliation,shooteroutcome,shooterdied,injury,chargesfiled,verdict,minorchargedadult,criminalhistory
19970213NYMOB,17,Teen,Male,Unknown,Student,Unknown,No,None,assault and criminal possession of a weapon,,,
19970213NYSAB,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19970219AKBEB,16,Teen,Male,Native American/Alaska Native,Student,Surrendered,No,None,"2 counts, 1st degree murder
1 count, attempted murder
15 counts, assault",Guilty on all charges and sentenced to 210 years,Yes,
19970220FLFIJ,17,Teen,Female,Unknown,Student,Suicide,Yes,Suicide,N/A,,N/A,
19970221NVRAL,20,Adult,Male,Other,Unknown,Fled/Apprehended,No,None,,,N/A,
19970317MIPED,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19970403CAMAM,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
19970428CAJOL,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19970430NYCIN,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
19970513FLNOM,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19970520OHDUD,16,Teen,Male,Unknown,Student,Unknown,No,None,,,,
19970624ALJEM,16,Teen,Male,Black,Student,Surrendered,No,None,Capital murder,Manslaughter,Yes,
19971001MSPEP,16,Teen,Male,White,Student,Fled/Apprehended,No,None,,,Yes,
19971005OKMOO,,Unknown,Male,White,Unknown,Fled/Escaped,No,None,,,,
19971010INWAG,20,Adult,Male,Unknown,Former Student,Fled/Apprehended,No,None,,,,
19971014TXLAG,19,Adult,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19971015FLLIP,13,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19971020CAMCO,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
19971022CAJON,21,Adult,Male,Asian,Former Student,Suicide,Yes,Suicide,,,,
19971107FLRIJ,18,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19971113CACRS,39,Adult,Male,Unknown,Relative,Surrendered,No,None,,,,
19971201KYHEW,14,Minor,Male,White,Student,Surrendered,No,None,,,,
19971215ARSTS,14,Minor,Male,White,Student,Fled/Apprehended,No,None,,,,
19980212NJHOH,61,Adult,Male,Unknown,Intimate Relationship,Fled/Escaped,Yes,Suicide,,,,
19980225MIRER,14,Minor,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19980227VAMAF,18,Adult,Male,Asian,Unknown,Fled/Apprehended,No,None,Murder,"Life for shooter; driver of the car Chuop was riding in, Peter Hanvichid, 17, of Spotsylvania County, Va., was sentenced last month to 20 years in prison on a charge of felonious assault by mob. Passenger Saeed Sheikh, 19, of the Fort Hunt section of Fair",No,
19980324ARWEJ,11,Minor,Male,White,Student,Fled/Apprehended,No,None,Murder and Assault,Confinement until they reach the age of 21,No,
19980324ARWEJ,13,Minor,Male,White,Student,Fled/Apprehended,No,None,Murder and Assault,Confinement until they reach the age of 21,No,
19980325CAFED,13,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19980325MICOC,18,Adult,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19980330NCGRC,13,Minor,Female,Unknown,Student,Suicide,Yes,Suicide,,,,
19980331WIOAO,14,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19980423CACUL,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
19980424PAPAE,14,Minor,Male,White,Student,Fled/Apprehended,No,None,First Degree Murder,"Pleaded guilty, 30-60 years in prison",Yes,
19980428CAPHP,14,Minor,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
19980428WIPAP,15,Teen,Male,Unknown,No Relation,Fled/Apprehended,No,None,"First Degree Attempted Homicide, armed robbery, carrying a dangerous weapon, carrying a firearm on school property",,Yes,
19980501FLNOM,Teen,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
19980501NYPUB,37,Adult,Male,Unknown,Police Officer/SRO,Fled/Apprehended,No,None,,,,
19980519TNLIF,18,Adult,Male,Unknown,Student,Unknown,No,None,First-degree murder,First-degree murder,,
19980521CARIR,15,Teen,Male,Hispanic,Student,Suicide,Yes,Suicide,,,,
19980521ORTHS,15,Teen,Male,White,Student,Apprehended/Killed by LE,No,None,,,,Charged with bringing gun to school that day
19980521WAONO,14,Minor,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19980527CAWAP,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19980529FLSTF,29,Adult,Male,White,Intimate Relationship,Suicide,Yes,Suicide,N/A,N/A,N/A,
19980615VAARR,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,Yes,
19980911CAHEG,17,Teen,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
19980930FLLEL,17,Teen,Male,Unknown,Student,Apprehended/Killed by LE,No,Wounded,,,,
19980930FLNOM,18,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,3 counts of attempted first degree murder,,,
19980930FLNOM,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,3 counts of attempted first degree murder,,,
19981103PAMAP,19,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
19981103PAMAP,17,Teen,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
19981130NYHAH,14,Minor,Female,Unknown,Student,Suicide,Yes,Suicide,,,,
19981203INERG,36,Adult,Female,Unknown,Parent,Fled/Apprehended,No,None,,,,
19981211INBEI,Teen,Adult,Male,Unknown,Student,Unknown,No,None,,,,
19990108GACEC,15,Teen,Female,Unknown,Student,Suicide,Yes,Suicide,,,,
19990108GACEC,17,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19990114NYHAN,16,Teen,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
19990121TXRIN,16,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19990211ILOME,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19990211MSJEP,44,Adult,Male,Unknown,Unknown,Surrendered,No,None,,,,
19990304ILNIS,26,Adult,Male,Unknown,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,Yes,Suicide,N/A,N/A,N/A,
19990416IDNON,16,Teen,Male,White,Student,Surrendered,No,None,,,,
19990420COCOL,17,Teen,Male,White,Student,Suicide,Yes,Suicide,N/A,,,No
19990420COCOL,18,Adult,Male,White,Student,Suicide,Yes,Suicide,N/A,,,No
19990422GAMAA,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19990422LASCB,14,Minor,Male,Unknown,Former Student,Fled/Apprehended,No,None,,,,
19990520GAHEC,15,Teen,Male,White,Student,Fled/Apprehended,No,None,,,,
19990825GAJAM,16,Teen,Female,Unknown,Student,Suicide,Yes,Suicide,,,,
19990909CASAS,16,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19990927FLEGT,,Unknown,,Unknown,Unknown,Unknown,No,None,,,,
19991004SDJOP,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19991011NVCLL,18,Adult,Male,Hispanic,Unknown,Fled/Apprehended,No,None,,,,
19991021CASAP,Teen,Adult,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19991026PAMAP,19,Adult,Male,Unknown,Former Student,Fled/Apprehended,No,None,,,,
19991026WVGUB,66,Adult,Male,Unknown,Other Staff,Suicide,Yes,Suicide,,,,
19991117TXDID,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19991119NMDED,13,Minor,Male,Hispanic,Student,Surrendered,No,None,,,,
19991206OKFOF,13,Minor,Male,White,Student,Subdued by Students/Staff/Other,No,None,,,,
20000110AKBAA,16,Teen,Male,Unknown,Student,Fled/Escaped,No,None,"charged with misconduct involving a weapon, assault and criminal mischief",,,
20000113NMALA,Teen,Adult,Male,Unknown,Rival School Student,Fled/Apprehended,No,None,,,,
20000119FLRIN,16,Teen,Male,White,Student,Unknown,No,None,,,,
20000120NCERA,17,Teen,Male,Unknown,Former Student,Fled/Apprehended,No,None,,,,
20000126CAALM,13,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20000126NESOO,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
20000210PAPEY,13,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20000214ILDUC,12,Minor,Male,Unknown,Student,Fled/Escaped,No,None,,,,
20000229MIBUF,6,Minor,Male,Black,Student,Unknown,No,None,never charged with the murder due to his age,,No,
20000310GABES,19,Adult,Male,Unknown,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,"2 counts murder, 1 aggravated assault",,,
20000323OHMCL,13,Minor,Male,Unknown,Student,Surrendered,No,None,,,,
20000406OKHUH,35,Adult,Female,Unknown,Parent,Apprehended/Killed by LE,No,None,,,,
20000410AZLAT,35,Adult,Female,Unknown,Teacher,Surrendered,No,Wounded,,,,
20000502COTHD,16,Teen,Male,Unknown,Student,Attempted Suicide,No,Wounded,,,,
20000510AZCAS,39,Adult,Male,Unknown,Intimate Relationship,Suicide,Yes,Suicide,,,,
20000526FLLAL,13,Minor,Male,Black,Student,Subdued by Students/Staff/Other,No,None,Murder,"1st Degree Murder, 38 years",Yes,
20000717WADIR,13,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20000726OHTIC,18,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20000905OHBIB,66,Adult,Male,Unknown,Intimate Relationship,Fled/Escaped,Yes,Suicide,,,,
20000907ILLOR,19,Adult,Male,White,No Relation,Fled/Apprehended,No,None,First-degree murder,First-degree murder,No,
20000918OHMOM,14,Minor,Male,Unknown,Student,Surrendered,No,None,,,,
20000926LACAN,13,Minor,Male,Black,Student,Apprehended/Killed by LE,No,None,,,,
20000926LACAN,15,Teen,Male,Black,Student,Apprehended/Killed by LE,No,None,,,,
20001005MNMIM,,Unknown,Male,Unknown,Nonstudent,Fled/Escaped,No,None,,,,
20001024AZPIG,14,Minor,Male,Unknown,Former Student,Surrendered,No,None,,,,
20001101TXNEC,15,Teen,Male,Unknown,Student,Apprehended/Killed by LE,No,None,,,,
20001201CAGRL,17,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20001201CAJUS,15,Teen,Male,Unknown,Student,Surrendered,No,Wounded,,,,
20001207CARIR,Teen,Adult,,Unknown,Unknown,Fled/Escaped,No,None,,,,
20001221FLNOM,Teen,Adult,Male,Unknown,No Relation,Fled/Escaped,No,None,,,,
20010103CABAS,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,Wounded,,,,
20010110CAHUO,17,Teen,Male,Hispanic,Nonstudent,Apprehended/Killed by LE,Yes,Fatal,,,,
20010117MDLAB,19,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
20010202MIOSD,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
20010302CAHOS,18,Adult,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20010305CASAS,15,Teen,Male,White,Student,Apprehended/Killed by LE,No,None,,,,
20010306MDLAL,14,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,Multiple robbery charges
20010307PABIW,14,Minor,Female,White,Student,Surrendered,No,None,,Sentenced to psychiatric facility for an open ended time,No,
20010307WAKEC,16,Teen,Male,Unknown,Student,Surrendered,No,None,,,,
20010322CAGRE,18,Adult,Male,White,Student,Fled/Apprehended,Yes,Suicide,,,,
20010330INLEG,17,Teen,Male,Black,Former Student,Fled/Apprehended,No,None,,,,
20010402TXKLH,13,Minor,Female,Unknown,Student,Suicide,Yes,Suicide,,,,
20010410WAWAM,16,Teen,Male,Unknown,Student,Surrendered,No,None,,,,
20010420LAMOM,14,Minor,Male,Unknown,Student,Apprehended/Killed by LE,No,None,,,,
20010425OHJOC,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
20010515TXENE,16,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20010607TXOUA,Adult,Adult,,Unknown,Police Officer/SRO,Law Enforcement,No,None,,,,
20010730CABEL,,Unknown,Male,Unknown,No Relation,Fled/Escaped,No,None,,,,
20010912KYLAC,30,Adult,Female,White,Parent,Surrendered,No,None,,,,
20010921MDLAB,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20011012UTTAT,17,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20011026CARER,17,Teen,Male,Unknown,Student,Surrendered,No,None,,,,
20011026MIBES,Teen,Adult,Male,Unknown,Student,Unknown,No,None,,,,
20011112MICAC,17,Teen,Male,Unknown,Former Student,Suicide,Yes,Suicide,,,,
20011130TXFRF,54,Adult,Female,Unknown,Teacher,Surrendered,No,None,,,,
20020111MSRAJ,18,Adult,Male,Black,Student,Surrendered,No,None,enderson is charged with two counts of kidnapping and one count of having a weapon on school property,,,
20020115NYMAN,18,Adult,Male,Hispanic,Student,Fled/Apprehended,No,None,,,,
20020124PAOLO,63,Adult,Male,Unknown,Other Staff,Surrendered,No,None,,,,
20020201TXBRB,39,Adult,Male,Unknown,Other Staff,Unknown,No,None,,,,
20020206CAGAL,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20020207ILROC,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20020322CAJOC,13,Minor,Male,Unknown,Student,Surrendered,No,None,33 counts of felony false imprisonment,,,
20020406MDLEB,Adult,Adult,Male,N/A,Police Officer/SRO,Law Enforcement,No,None,Officer charged with 2nd degree murder,,N/A,
20020426LAABN,38,Adult,Male,Unknown,Security Guard,Surrendered,No,None,,,,
20021004MTCMG,18,Adult,Male,White,Relative,Fled/Apprehended,No,None,,,,
20021004TXPAS,13,Minor,Female,Unknown,Student,Suicide,Yes,Suicide,,,,
20021007MDBEB,17,Teen,Male,Black,No Relation,Fled/Apprehended,No,None,,,,
20021029NJLIJ,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20021107MOSTL,43,Adult,Male,Unknown,Parent,Fled/Apprehended,No,None,,,,
20021115CAAML,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
20021115TXSCS,18,Adult,Male,Unknown,Former Student,Subdued by Students/Staff/Other,No,None,,,,Stole teachers car (expelled for it)
20021202MIOSD,15,Teen,Male,Unknown,Student,Unknown,No,Wounded,,,,
20021212WAWIC,13,Minor,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20021216ILENC,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20030121KYWEO,12,Minor,Male,Unknown,Student,Surrendered,No,None,,,,
20030130OKJEJ,17,Teen,Male,Unknown,Student,Surrendered,No,None,,,,
20030205CORAW,14,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20030318IACLG,17,Teen,Male,Unknown,Student,Attempted Suicide,No,Wounded,,,,
20030321MSNOM,15,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20030330CAROW,20,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
20030401DCCAW,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20030414LAFAS,18,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20030414LAJON,17,Teen,Male,Black,Rival School Student,Fled/Apprehended,No,None,,,,
20030414LAJON,17,Teen,Male,Black,Rival School Student,Fled/Apprehended,No,None,,,,
20030414LAJON,18,Adult,Male,Black,Rival School Student,Fled/Apprehended,No,None,,,,
20030416TXGRA,12,Minor,Female,Unknown,Student,Suicide,Yes,Suicide,,,,
20030424PARER,14,Minor,Male,White,Student,Suicide,Yes,Suicide,,,,
20030513PAFOJ,18,Adult,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20030604PAROW,12,Minor,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20030910MSVIV,20,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
20030917MACHB,14,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20030917MDOKE,13,Minor,Male,Unknown,Student,Surrendered,No,None,,,,
20030922WALES,16,Teen,Male,White,Student,Apprehended/Killed by LE,No,None,,,,
20030924MNROC,16,Teen,Male,White,Student,Surrendered,No,None,,,,
20030925NCBUL,13,Minor,Male,Unknown,Student,Apprehended/Killed by LE,No,None,,,,
20031001CARIS,18,Adult,Male,Unknown,Police Officer/SRO,Apprehended/Killed by LE,No,Wounded,,,,
20031007OHKEA,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20031029LAMAM,14,Minor,Male,Unknown,Student,Apprehended/Killed by LE,No,None,,,,
20031030DCANW,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
20031108TXHIS,21,Adult,Male,Unknown,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
20031113NCEAC,15,Teen,Male,Unknown,Student,Unknown,No,None,,,,
20031202ILFEC,Adult,Adult,Male,Unknown,Police Officer/SRO,Apprehended/Killed by LE,Yes,Fatal,N/A,N/A,No,
20031204OKDOO,18,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20031205ILCAC,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20031217MDOLM,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
20031222NJCOW,23,Adult,Male,Unknown,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
20031229FLABE,16,Teen,Male,Unknown,Unknown,Fled/Apprehended,No,Wounded,,,,
20040115CAPOP,17,Teen,Male,Unknown,Student,Unknown,No,None,,,,
20040121NVFAH,40,Adult,Male,Black,Intimate Relationship,Apprehended/Killed by LE,Yes,Fatal,,,,
20040202DCBAW,18,Adult,Male,Black,Student,Fled/Apprehended,No,None,,,,
20040203TXYOH,12,Minor,Male,Unknown,Student,Surrendered,No,Wounded,,,,
20040206LAFAS,Adult,Adult,,Unknown,Police Officer/SRO,Law Enforcement,No,None,,,,
20040209NYCOE,16,Teen,Male,White,Student,Subdued by Students/Staff/Other,No,None,,,,
20040211PATMP,22,Adult,Male,Black,No Relation,Fled/Apprehended,No,None,,Life in prison,,
20040211PATMP,21,Adult,Male,Black,No Relation,Fled/Apprehended,No,None,,Life in prison,,
20040213OHCOD,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20040220LAGAS,41,Adult,Male,Unknown,Intimate Relationship,Fled/Escaped,Yes,Suicide,,,,
20040305CASAL,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
20040317WACRJ,13,Minor,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20040504TXKAH,Teen,Adult,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
20040507MDRAR,17,Teen,Male,Black,Unknown,Fled/Apprehended,No,None,,,,
20040507MDRAR,21,Adult,Male,Black,Student,Fled/Apprehended,No,None,Felony Assault X4,100 years,Yes,
20040512CAEAM,20,Adult,Male,Unknown,Gang Member,Fled/Apprehended,No,None,,,N/A,
20040524UTWES,52,Adult,Male,Unknown,Intimate Relationship,Suicide,Yes,Suicide,,,,
20040609CACAO,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
20040803ALHUB,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,Attempted murder,,,
20040824TNHAM,16,Teen,Male,Unknown,Student,Unknown,No,None,,,,
20040830ILPRM,Adult,Adult,Male,Black,No Relation,Fled/Escaped,No,None,,,,
20040912LABON,34,Adult,Female,Unknown,Unknown,Unknown,No,None,,,,
20040915INWIG,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20041002NEJEG,20,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
20041007MANEN,15,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20041012CALAS,25,Adult,Male,Unknown,No Relation,Apprehended/Killed by Other,Yes,Fatal,,,,
20041012CALAS,25,Adult,Male,Unknown,No Relation,Apprehended/Killed by Other,Yes,Fatal,,,,
20041015CABIB,19,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
20041021MDTHB,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,Multiple criminal charges and on probation
20041022CATYH,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
20041115ALPAB,20,Adult,Male,Unknown,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,Attempted murder,,N/A,
20041115INBRG,22,Adult,Male,Unknown,Parent,Fled/Apprehended,No,None,,,,
20041115INBRG,22,Adult,Male,Unknown,Parent,Fled/Apprehended,No,None,,,,
20041116SCBAB,20,Adult,Male,Unknown,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
20041117FLAPA,14,Minor,Male,Unknown,Student,Apprehended/Killed by LE,No,None,,,,
20041119FLTEJ,Teen,Adult,Male,Unknown,Student,Surrendered,No,None,,,,
20041209WALAS,16,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20041213LALAL,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
20041231TXRIR,38,Adult,Male,Unknown,Other Staff,Suicide,Yes,Suicide,,,,
20050105PAMUN,16,Teen,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
20050126ILWOP,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20050204GAMCA,19,Adult,Male,Unknown,Relative,Unknown,No,None,,,,
20050208ILBOC,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
20050302TNSTD,14,Minor,Male,White,Student,Fled/Apprehended,No,None,,,,
20050309TNMAN,16,Teen,Male,Unknown,Former Student,Fled/Escaped,No,None,,,,
20050310TXZAD,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
20050314OHLEC,7,Minor,Male,Unknown,Student,Surrendered,No,None,,,,
20050316PACAP,21,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,Murder,,,
20050317CALOL,18,Adult,Male,Black,No Relation,Fled/Apprehended,No,None,Y,One count of murder and one count of attempted murder - sentenced to 82 years,No,
20050317LAOPA,,Unknown,Male,Unknown,Student,Fled/Escaped,No,None,No suspect to charge.,,,
20050321MNRER,16,Teen,Male,Native American/Alaska Native,Former Student,Suicide,Yes,Suicide,,,,
20050321NYNEB,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,Wounded,,,,
20050324TNFAM,17,Teen,Female,Unknown,Student,Unknown,No,Wounded,,,,
20050330TNEAM,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,Wounded,,,,
20050407TXCAC,45,Adult,Male,White,Parent,Fled/Apprehended,No,None,,,,
20050427LALER,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20050429OHDAC,17,Teen,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
20050514TXBER,17,Teen,Male,Unknown,Rival School Student,Fled/Apprehended,No,None,,,,
20050517PAHIL,47,Adult,Male,Unknown,Intimate Relationship,Suicide,Yes,Suicide,,,,
20050520ILLOM,19,Adult,Male,Unknown,Former Student,Unknown,No,None,Aggravated battery,,N/A,
20050524COACD,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
20050524LABOS,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,Wounded,,,,
20050608NYARP,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,"charged with criminal possession of a weapon, felony attempted assault, two counts of felony assault and two misdemeanor charges for reckless endangerment",,,
20050612NJBAA,Adult,Adult,Male,Unknown,No Relation,Fled/Escaped,No,None,,,,
20050718NJWEN,25,Adult,Male,Unknown,Relative,Fled/Apprehended,No,Wounded,,,,
20050816VICOE,Adult,Adult,Male,Unknown,No Relation,Fled/Escaped,No,None,,,,
20050816VICOE,Adult,Adult,Male,Unknown,No Relation,Fled/Escaped,No,None,,,,
20050817CAPLB,26,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
20050819GAMOM,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
20050825TNMAD,Teen,Adult,Male,Unknown,Student,Apprehended/Killed by LE,No,None,,,,
20050901AKDIA,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20050902FLSOJ,21,Adult,Male,Unknown,No Relation,Fled/Escaped,No,None,,,,
20050913ILHAC,15,Teen,Male,Black,Student,Apprehended/Killed by LE,No,None,,,,
20050924MISAS,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
20051011MIFAF,17,Teen,Male,Unknown,Student,Surrendered,No,None,,,,
20051014NYSAN,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
20051019CASAS,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20051020MISAS,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20051027CABIF,Adult,Adult,Male,Unknown,No Relation,Fled/Escaped,No,None,,,,
20051028MDANA,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20051028NYFAF,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,No suspect to charge,,,
20051108TNCAJ,15,Teen,Male,White,Student,Subdued by Students/Staff/Other,No,None,1st degree murder (as adult); plea bargain of second-degree murder and 2 counts of attempted second-degree murder,"1 count second-degree murder, 2 counts second-degree murder; 45 years in prison, juvenile prison until 18; after many appeals Feb 2014 sentence commuted to 1 count of reckless homicide and not guilty of attempted second-degree murder, time served was coun",Yes,
20051115FLPAM,17,Teen,Female,Unknown,Student,Surrendered,No,None,,,,
20051116TXIRS,Adult,Adult,Male,Unknown,Police Officer/SRO,Law Enforcement,No,None,,N/A,,
20051205MABOR,17,Teen,Male,Black,Student,Surrendered,No,None,,,,
20051206CASAG,,Unknown,Male,Hispanic,Unknown,Fled/Escaped,No,None,,,,
20051206MICED,,Unknown,,Unknown,Nonstudent,Fled/Escaped,No,None,,,,
20060103NJLIJ,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
20060110DEMOW,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
20060111WIMAM,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
20060113ALPIP,20,Adult,Male,Unknown,Nonstudent Using Athletic Facilities/Attending Game,Apprehended/Killed by LE,No,None,,,,
20060113FLMIL,15,Teen,Male,White,Student,Apprehended/Killed by LE,Yes,Fatal,,,,
20060113MIOSD,Teen,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
20060118MTFRA,15,Teen,Female,Unknown,Student,Fled/Apprehended,No,None,Assault with a weapon,,No,
20060118TXPAA,Teen,Adult,Male,Unknown,Student,Surrendered,No,None,,,,
20060118VAINC,20,Adult,Male,Unknown,Nonstudent,Fled/Apprehended,No,None,,,,
20060119OHWIC,19,Adult,Male,Unknown,Nonstudent,Fled/Apprehended,No,None,,,,
20060119OHWIC,20,Adult,Male,Unknown,Nonstudent,Fled/Apprehended,No,None,,,,
20060123CAWIV,14,Minor,Male,Unknown,Student,Unknown,No,None,,,,
20060127TXLAG,16,Teen,Male,Unknown,Student,Unknown,No,None,,,,
20060130MTCMG,16,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
20060203CALOC,9,Minor,Male,Unknown,Student,Unknown,No,None,,,,
20060209DEWIN,,Unknown,Male,Unknown,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,None,,,,
20060215PAWEY,Adult,Adult,Male,Unknown,Teacher,Suicide,Yes,Suicide,,,,
20060221PAWEP,23,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
20060223ORROR,14,Minor,Male,White,Student,Fled/Apprehended,No,None,,,,
