incidentid,race,injury,gender,schoolaffiliation,age,age category 
19851018MIMUD,N/A,Wounded,Female,Student,13,Child
19851018MIMUD,N/A,Wounded,,Student,Teen,Teen
19851018MIMUD,N/A,Wounded,,Student,Teen,Teen
19851018MIMUD,N/A,Wounded,,Student,Teen,Teen
19851018MIMUD,N/A,Wounded,,Student,Teen,Teen
19851022OHSOG,N/A,Wounded,Female,Student,16,Teen
19851126WASPS,N/A,Fatal,Male,Student,14,Child
19851126WASPS,N/A,Fatal,Male,Student,14,Child
19851127ALCHB,N/A,Wounded,Male,Student,Teen,Teen
19851203NHCOC,N/A,None,Male,Student,Teen,Teen
19851209PAARP,N/A,None,,,,Unknown
19851210CTPOP,N/A,Fatal,Male,Other Staff,36,Adult
19851210CTPOP,N/A,Wounded,Male,Principal/Vice-Principal,Adult,Adult
19851210CTPOP,N/A,Wounded,Female,Other Staff,53,Adult
19860109NCNOD,N/A,Fatal,Female,Student,17,Teen
19860117CAVAL,N/A,Fatal,Male,Student,16,Teen
19860129MDLAB,N/A,Fatal,Male,Student,16,Teen
19860224LABOS,N/A,None,Male,Student,13,Child
19860306ILTHD,N/A,Wounded,Female,Teacher,Adult,Adult
19860423FLCHM,N/A,Wounded,Male,Student,15,Teen
19860429MOSES,N/A,Fatal,Female,Student,Teen,Teen
19860509NCPIF,N/A,Wounded,Male,Student,Teen,Teen
19860509NCPIF,N/A,Wounded,Male,Student,Teen,Teen
19860509NCPIF,N/A,Wounded,Male,Student,Teen,Teen
19860515GACAA,N/A,Wounded,Female,Student,6,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860516WYCOC,N/A,Wounded,,Student,Child,Child
19860517TNMAN,N/A,Wounded,Male,Teacher,33,Adult
19860912CAFAL,N/A,Fatal,Male,Former Student,18,Adult
19860918CABEB,N/A,Fatal,Female,Student,15,Teen
19861003CAMOM,N/A,Wounded,Male,Student,14,Child
19861003CAMOM,N/A,Wounded,Female,Student,14,Child
19861008TXSOD,N/A,Fatal,Male,Student,16,Teen
19861204MTFEL,N/A,Fatal,Female,Teacher,40,Adult
19861204MTFEL,N/A,Wounded,Male,Teacher,36,Adult
19861204MTFEL,N/A,Minor Injuries,Female,Student,Teen,Teen
19861204MTFEL,N/A,Minor Injuries,Female,Student,Teen,Teen
19870114CALOL,N/A,None,Male,Student,18,Adult
19870123MIRED,N/A,Wounded,Male,Student,15,Teen
19870210ARDAD,N/A,None,Male,Student,17,Teen
19870213AZORM,N/A,Wounded,Male,Teacher,43,Adult
19870213AZORM,N/A,Wounded,Male,Teacher,40,Adult
19870213AZORM,N/A,Fatal,Male,Student,17,Teen
19870213AZORM,N/A,Minor Injuries,Female,Teacher,25,Adult
19870224NYMON,N/A,Wounded,Female,Parent,38,Adult
19870302MODED,N/A,Fatal,Male,Student,13,Child
19870306TXRIE,N/A,Wounded,Female,Student,15,Teen
19870330CAPAS,N/A,None,Female,No Relation,44,Adult
19870416MIMUD,N/A,Fatal,Male,Student,17,Teen
19870416MIMUD,N/A,Wounded,Male,Student,17,Teen
19870416MIMUD,N/A,Minor Injuries,Female,Student,18,Adult
19870430ORGRP,N/A,Fatal,Male,Student,17,Teen
19870503INPII,N/A,Wounded,Male,Teacher,26,Adult
19870506ARMAJ,N/A,None,Male,Student,15,Teen
19870506FLLET,N/A,None,Male,Student,15,Teen
19870513ILOAO,N/A,None,Male,Student,17,Teen
19870928ILILL,N/A,Wounded,Male,Teacher,44,Adult
19871014ILDUC,Black,Fatal,Male,Student,15,Teen
19871030NCSOK,N/A,Wounded,Male,Student,16,Teen
19871030NCSOK,N/A,Wounded,Male,Student,17,Teen
19871104MISOD,N/A,Wounded,Male,Student,16,Teen
19871114FLCLC,N/A,None,Male,Student,18,Adult
19871130TXPES,N/A,Fatal,Female,Teacher,35,Adult
19871202FLENJ,N/A,None,,,,Unknown
19871204NYEAN,N/A,Wounded,Female,Teacher,23,Adult
19871215NYGRB,N/A,Wounded,Male,Student,16,Teen
19871216TXMAK,N/A,None,Male,Student,15,Teen
19880105PASPS,N/A,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,17,Teen
19880106FLGAT,White,None,Female,Student,17,Teen
19880108PACRM,N/A,Wounded,Male,Student,15,Teen
19880120LASIR,N/A,Fatal,Female,Student,17,Teen
19880129TXREA,Black,Fatal,Female,Student,17,Teen
19880202ALWET,N/A,None,,,,Unknown
19880211FLPIL,N/A,Wounded,Female,Teacher,Adult,Adult
19880211FLPIL,N/A,Fatal,Male,Other Staff,Adult,Adult
19880211FLPIL,N/A,Wounded,Male,Other Staff,22,Adult
19880226RIBRB,N/A,Wounded,Male,Student,15,Teen
19880304MILED,N/A,Wounded,,Student,12,Child
19880323CACAS,N/A,None,,,,Unknown
19880324TXTRA,N/A,None,,,,Unknown
19880505ILMAC,N/A,Wounded,Male,Student,18,Adult
19880516FLFOF,N/A,Wounded,Male,Student,14,Child
19880520ILHUW,N/A,Fatal,Male,Student,8,Child
19880520ILHUW,N/A,Wounded,Male,No Relation,20,Adult
19880520ILHUW,N/A,Wounded,Female,Student,Child,Child
19880520ILHUW,N/A,Wounded,Female,Student,Child,Child
19880520ILHUW,N/A,Wounded,Male,Student,Child,Child
19880520ILHUW,N/A,Wounded,Male,Student,Child,Child
19880520ILHUW,N/A,Wounded,Male,Student,Child,Child
19880531NYPUB,N/A,Wounded,Female,Teacher,27,Adult
19880602MSWIJ,N/A,Wounded,Male,Student,18,Adult
19880602MSWIJ,N/A,Wounded,Male,Student,17,Teen
19880617MIJOD,N/A,Wounded,Male,Student,15,Teen
19880630HIAIO,White,Wounded,Female,Teacher,41,Adult
19880710WISIM,N/A,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,Adult
19880711MSLAJ,Black,Wounded,Male,Student,16,Teen
19880831MICED,N/A,Wounded,Male,Student,17,Teen
19880831SCWEA,N/A,Fatal,Male,Principal/Vice-Principal,35,Adult
19880902GAGLA,N/A,Wounded,Male,Other Staff,Adult,Adult
19880902GAGLA,N/A,Wounded,Male,Other Staff,Adult,Adult
19880902NCGAC,N/A,Wounded,Male,Other Staff,42,Adult
19880902NCGAC,N/A,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,20,Adult
19880902NCGAC,N/A,Wounded,Male,Student,18,Adult
19880902NCGAC,N/A,Wounded,Female,Unknown,,Unknown
19880903TXLID,N/A,Wounded,Male,Student,15,Teen
19880903TXLID,N/A,Wounded,Female,Student,15,Teen
19880922ILMOC,N/A,Fatal,Male,Other Staff,33,Adult
19880922ILMOC,N/A,Fatal,Male,No Relation,26,Adult
19880922ILMOC,Hispanic,Wounded,Male,Police Officer/SRO,38,Adult
19880922ILMOC,N/A,Fatal,Female,Police Officer/SRO,40,Adult
19880922ILMOC,N/A,Fatal,Male,No Relation,41,Adult
19880922ILMOC,N/A,Wounded,Male,No Relation,35,Adult
19880926SCOAG,N/A,Wounded,Female,Teacher,Adult,Adult
19880926SCOAG,N/A,Wounded,Male,Student,6,Child
19880926SCOAG,N/A,Wounded,Female,Teacher,Adult,Adult
19880926SCOAG,Black,Wounded,Female,Student,6,Child
19880926SCOAG,N/A,Wounded,Female,Student,8,Child
19880926SCOAG,White,Wounded,Female,Student,6,Child
19880926SCOAG,Black,Fatal,Female,Student,8,Child
19880926SCOAG,Black,Fatal,Female,Student,8,Child
19880926SCOAG,N/A,Wounded,,Student,8,Child
19880926SCOAG,N/A,Wounded,,Student,8,Child
19880926SCOAG,N/A,Wounded,,Student,8,Child
19881003FLMAM,N/A,Wounded,Female,Student,Teen,Teen
19881004FLJEJ,N/A,Wounded,Female,Student,Teen,Teen
19881004FLJEJ,N/A,Wounded,Female,Student,Teen,Teen
19881004FLJEJ,N/A,Wounded,Female,Student,Teen,Teen
19881004FLJEJ,N/A,Wounded,Female,Student,Teen,Teen
19881004FLJEJ,N/A,Wounded,Female,Student,Teen,Teen
19881004LAISB,N/A,None,,Other Staff,Adult,Adult
19881005MDEDB,N/A,Wounded,Female,Student,15,Teen
19881006ALMOM,N/A,Wounded,Female,Teacher,35,Adult
19881007MDSOB,N/A,Wounded,Male,Student,17,Teen
19881007TXDIP,N/A,Wounded,Female,Bus Driver,40,Adult
19881101FLPAJ,N/A,None,Male,Student,18,Adult
19881107UTGLS,N/A,Wounded,Male,Student,Teen,Teen
19881122TXABA,N/A,Wounded,Male,Teacher,Adult,Adult
19881216VAATV,N/A,Fatal,Female,Teacher,41,Adult
19881216VAATV,N/A,Wounded,Male,Teacher,37,Adult
19890105ARHEL,N/A,Fatal,Male,Student,16,Teen
19890117CACLS,N/A,Wounded,Female,Teacher,Adult,Adult
19890117CACLS,Asian,Fatal,Female,Student,8,Child
19890117CACLS,Asian,Wounded,Male,Student,7,Child
19890117CACLS,Asian,Fatal,Female,Student,8,Child
19890117CACLS,Asian,Fatal,Male,Student,9,Child
19890117CACLS,White,Wounded,Male,Student,6,Child
19890117CACLS,Asian,Wounded,Female,Student,7,Child
19890117CACLS,Asian,Fatal,Female,Student,6,Child
19890117CACLS,Asian,Fatal,Female,Student,6,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890117CACLS,N/A,Wounded,,Student,Child,Child
19890126DCWOW,N/A,Wounded,Male,Student,Teen,Teen
19890126DCWOW,N/A,Wounded,Male,Student,Teen,Teen
19890126DCWOW,N/A,Wounded,Male,Student,Teen,Teen
19890126DCWOW,N/A,Wounded,Male,Student,Teen,Teen
19890210UTTHK,N/A,None,Male,Principal/Vice-Principal,Adult,Adult
19890303INWIG,Black,Fatal,Male,Student,17,Teen
19890426TXAMD,N/A,Wounded,Male,Student,16,Teen
19890911AZDYE,White,Fatal,Male,Student,15,Teen
19890918KYJAM,N/A,None,,,,Unknown
19891005CALOA,N/A,Wounded,Male,Student,14,Child
19891031TXOLD,N/A,Wounded,Male,Student,14,Child
19891113NYALN,N/A,Fatal,Male,Student,17,Teen
19891115TXWOA,N/A,Wounded,Male,Principal/Vice-Principal,44,Adult
19891122CACHO,Hispanic,Fatal,Male,Gang Member,20,Adult
19891204LACAS,N/A,Wounded,Male,Student,Teen,Teen
19891205PASEM,N/A,Wounded,Male,Student,Teen,Teen
19891205TXWWD,N/A,Wounded,Male,Teacher,50,Adult
19891212SCCHC,N/A,Wounded,Male,Student,15,Teen
19900116RICEP,N/A,Wounded,Male,Student,Teen,Teen
19900116RICEP,N/A,Wounded,Female,Student,Teen,Teen
19900220OHTAC,N/A,Fatal,Male,Former Student,18,Adult
19900327NYNEB,N/A,Wounded,Male,Student,Teen,Teen
19900403TXSKD,N/A,Wounded,Male,Student,16,Teen
19900504CAMOE,White,Fatal,Male,Student,15,Teen
19900504CAMOE,Black,Wounded,Male,Student,15,Teen
19900520TNHIC,N/A,Fatal,Male,Principal/Vice-Principal,Adult,Adult
19900531TXSUF,N/A,Wounded,Male,Student,Teen,Teen
19900531TXSUF,N/A,Wounded,Male,Student,Teen,Teen
19900824NCMYC,N/A,Fatal,Male,Student,Teen,Teen
19900827NVELL,N/A,Fatal,Male,Student,Teen,Teen
19900827TXWHD,N/A,None,,Student,Teen,Teen
19900911TXSAS,N/A,Wounded,Male,Student,Teen,Teen
19900911TXSAS,N/A,Wounded,Male,Student,Teen,Teen
19900911TXSAS,N/A,Wounded,Male,Student,Teen,Teen
19900922ALLEB,N/A,Wounded,Male,No Relation,16,Teen
19900922ALLEB,N/A,Wounded,Male,No Relation,19,Adult
19901002TXWHD,Hispanic,Wounded,Female,Student,Teen,Teen
19901029INCHC,N/A,None,,,,Unknown
19901030TXNAG,N/A,Wounded,Male,Principal/Vice-Principal,Adult,Adult
19901213LASAS,N/A,None,,,,Unknown
19910108TXRIR,White,None,Male,Student,16,Teen
19910117TXHOD,N/A,Wounded,Female,Student,15,Teen
19910219LABON,Black,Fatal,Male,Student,15,Teen
19910219LABON,Black,Wounded,Female,Student,18,Adult
19910313ALSES,N/A,Wounded,Male,Student,18,Adult
19910313ALSES,N/A,Wounded,Male,Student,17,Teen
19910314SCWOP,N/A,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,20,Adult
19910314SCWOP,N/A,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,20,Adult
19910314SCWOP,N/A,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,20,Adult
19910314SCWOP,N/A,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,11,Child
19910325NCGAC,N/A,Fatal,Male,Former Student,21,Adult
19910411SCNOR,N/A,None,Female,Student,Teen,Teen
19910423CARAC,N/A,Fatal,Male,Student,11,Child
19910423MSHUB,N/A,Wounded,Male,Student,16,Teen
19910510OHFRC,N/A,Fatal,Male,Student,18,Adult
19910516KSCOK,N/A,Wounded,Male,Student,13,Child
19910516KSCOK,N/A,Wounded,Female,Student,13,Child
19910521CAROS,N/A,Fatal,Male,Student,Teen,Teen
19910521FLSCP,N/A,Wounded,Male,Student,Teen,Teen
19910521FLSCP,N/A,Wounded,Male,Student,Teen,Teen
19910521FLSCP,N/A,Fatal,Female,Student,15,Teen
19910722CAWEL,N/A,Wounded,Male,Student,Teen,Teen
19910730CAENC,N/A,Wounded,Male,Student,Teen,Teen
19910913TXMAH,N/A,Fatal,Male,Student,Teen,Teen
19910917ILWOC,N/A,Wounded,Male,Student,Teen,Teen
19910918TXCRC,N/A,Fatal,Male,Student,17,Teen
19911002TXSPH,N/A,Wounded,Male,Student,Teen,Teen
19911004CADOL,N/A,Wounded,Male,Student,Teen,Teen
19911004CADOL,N/A,Wounded,Male,Student,Teen,Teen
19911004CAROL,N/A,None,,,,Unknown
19911009NYJAB,Black,Fatal,Male,Student,Teen,Teen
19911011MAMAR,Black,Wounded,Male,Nonstudent,17,Teen
19911015NHMOS,N/A,Wounded,,Student,Teen,Teen
19911015NHMOS,N/A,Wounded,,Student,Teen,Teen
19911015SCWOW,N/A,None,,,,Unknown
19911015TXGEP,N/A,Wounded,Male,Student,Teen,Teen
19911023TXOAD,N/A,Fatal,Male,Student,Teen,Teen
19911106LAWAN,N/A,Fatal,Male,Student,Teen,Teen
19911106LAWAN,N/A,Wounded,Male,Student,Teen,Teen
19911111TXYSE,N/A,Fatal,Male,Student,15,Teen
19911111TXYSE,N/A,Wounded,Male,Student,18,Adult
19911114TXMIH,N/A,Wounded,Male,Student,18,Adult
19911125NYTHB,N/A,Fatal,Male,Student,16,Teen
19911125NYTHB,N/A,Wounded,Male,Teacher,48,Adult
19911226NCWHW,N/A,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,Adult
19911226NCWHW,N/A,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,Adult
19920128LAFRG,N/A,Wounded,Male,Student,14,Child
19920131LAFRG,N/A,Wounded,Male,Student,13,Child
19920206OKDOO,N/A,Fatal,Male,Student,Teen,Teen
19920207VABON,N/A,Fatal,Male,Student,19,Adult
19920207VABON,N/A,Wounded,Male,Student,18,Adult
19920226NYTHB,N/A,Fatal,Male,Student,17,Teen
19920226NYTHB,N/A,Fatal,Male,Student,16,Teen
19920305OHHAO,N/A,Wounded,Male,Student,Teen,Teen
19920331LAOPA,N/A,Fatal,Male,Student,Teen,Teen
19920409FLFOF,N/A,Wounded,Male,Student,18,Adult
19920417TXLID,N/A,Fatal,Male,Former Student,Adult,Adult
19920501CALIO,N/A,Fatal,Male,Teacher,Adult,Adult
19920501CALIO,N/A,Wounded,,Student,Teen,Teen
19920501CALIO,N/A,Wounded,,Student,Teen,Teen
19920501CALIO,N/A,Wounded,,Student,Teen,Teen
19920501CALIO,N/A,Wounded,,Student,Teen,Teen
19920501CALIO,N/A,Wounded,,Teacher,Adult,Adult
19920501CALIO,N/A,Fatal,Male,Student,16,Teen
19920501CALIO,N/A,Fatal,Male,Student,17,Teen
19920501CALIO,N/A,Fatal,Male,Student,Teen,Teen
19920501CALIO,N/A,Wounded,,Student,Teen,Teen
19920501CALIO,N/A,Wounded,,Student,Teen,Teen
19920501CALIO,N/A,Wounded,,Student,Teen,Teen
19920501CALIO,N/A,Wounded,,Student,Teen,Teen
19920501CALIO,N/A,Wounded,,Student,Teen,Teen
19920514CASIN,N/A,Wounded,Male,Student,Teen,Teen
19920514CASIN,N/A,Wounded,Male,Student,Teen,Teen
19920514TXHUH,N/A,Wounded,Male,Student,Teen,Teen
19920529CAVEL,N/A,Wounded,Male,Student,Teen,Teen
19920529CAVEL,N/A,Wounded,Male,Student,Teen,Teen
19920529CAVEL,N/A,Wounded,Male,Student,Teen,Teen
19920606CAMEM,N/A,Wounded,Male,Former Student,23,Adult
19920911TXPAA,N/A,Wounded,Male,Student,Teen,Teen
19920911TXPAA,N/A,Wounded,Male,Student,Teen,Teen
19920911TXPAA,N/A,Wounded,Male,Student,Teen,Teen
19920911TXPAA,N/A,Wounded,Male,Student,Teen,Teen
19920911TXPAA,N/A,Wounded,Male,Student,Teen,Teen
19920911TXPAA,N/A,Wounded,Male,Student,Teen,Teen
19920911TXPAA,N/A,Wounded,Male,Student,Teen,Teen
19920928CAHIS,N/A,Wounded,Male,Student,16,Teen
19920928CAHIS,N/A,Wounded,Male,Student,18,Adult
19920930TXHOH,N/A,Fatal,Male,Gang Member,,Unknown
19920930TXHOH,N/A,Wounded,Male,Gang Member,,Unknown
19921013AZDET,N/A,Fatal,Male,Student,16,Teen
19921019NYEVB,N/A,Wounded,Female,Student,14,Child
19921019NYEVB,N/A,Wounded,Female,Student,14,Child
19921019NYEVB,N/A,Wounded,Male,Student,16,Teen
19921104MIFID,N/A,Minor Injuries,,Student,Teen,Teen
19921104MIFID,N/A,Minor Injuries,,Student,Teen,Teen
19921104MIFID,N/A,Minor Injuries,,Student,Teen,Teen
19921104MIFID,N/A,Minor Injuries,,Student,Teen,Teen
19921104MIFID,N/A,Minor Injuries,,Student,Teen,Teen
19921104MIFID,N/A,Minor Injuries,,Student,Teen,Teen
19921104MIFID,N/A,Minor Injuries,,Student,Teen,Teen
19921104MIMAD,N/A,Wounded,Male,Student,16,Teen
19921104MIMUD,N/A,Wounded,Male,No Relation,Teen,Teen
19921104MIMUD,N/A,Wounded,Male,No Relation,Teen,Teen
19921104MIMUD,N/A,Wounded,Male,No Relation,Teen,Teen
19921110ILSHC,N/A,None,Male,Student,13,Child
19921113TXLAC,N/A,Fatal,Female,Teacher,39,Adult
19921116ALFAB,N/A,Fatal,Male,Student,16,Teen
19921120ILTIC,N/A,Fatal,Male,Student,15,Teen
19921120ILTIC,N/A,Wounded,Male,Student,17,Teen
19921120ILTIC,N/A,Wounded,Male,Student,15,Teen
19921124ALROM,N/A,Wounded,Female,Student,18,Adult
19921130ILORC,N/A,Wounded,Male,Student,16,Teen
19921203ILWOC,N/A,Fatal,Male,No Relation,19,Adult
19921203ILWOC,N/A,Wounded,Male,No Relation,25,Adult
19921214NYWAW,N/A,Wounded,Female,Teacher,49,Adult
19930105NYBRB,N/A,Wounded,Male,Former Student,19,Adult
19930112FLNOM,Black,Fatal,Male,Student,18,Adult
19930118KYEAG,N/A,Fatal,Male,Teacher,48,Adult
19930118KYEAG,N/A,Fatal,Female,Teacher,51,Adult
19930121CAFAL,N/A,Fatal,Male,Student,17,Teen
19930121CAFAL,N/A,Wounded,Male,Student,16,Teen
19930201NYAMA,N/A,Fatal,Male,Nonstudent,17,Teen
19930201NYAMA,N/A,Wounded,Male,Nonstudent,17,Teen
19930201WARER,N/A,None,Male,Student,14,Child
19930204GACLA,N/A,Fatal,Male,Student,Teen,Teen
19930208DCWAW,N/A,Fatal,Male,Student,21,Adult
19930208MNMIM,N/A,None,Male,Student,14,Child
19930222CAREL,N/A,Fatal,Male,Student,17,Teen
19930226MAGLG,N/A,None,Male,Student,15,Teen
19930308VADOD,White,Fatal,Female,Teacher,45,Adult
19930318GAHAH,N/A,Wounded,Male,Student,15,Teen
19930318GAHAH,N/A,Fatal,Male,Student,17,Teen
19930325MOSUS,N/A,Fatal,Male,Student,17,Teen
19930403CAGRS,N/A,Fatal,Male,Student,16,Teen
19930403CAGRS,N/A,Wounded,Male,Student,18,Adult
19930415MAFOA,N/A,Fatal,Female,Other Staff,52,Adult
19930416CAGRS,N/A,Fatal,Male,Other Staff,43,Adult
19930416WAMOT,N/A,None,Female,No Relation,33,Adult
19930514TXNII,N/A,Fatal,Male,Student,17,Teen
19930524PAUPP,N/A,Fatal,Male,Student,16,Teen
19930527LAFRN,Black,Fatal,Male,Former Student,15,Teen
19930707CADOL,N/A,Fatal,Male,Student,15,Teen
19930803NYTHN,N/A,Wounded,Male,Student,18,Adult
19930831GAHAA,Black,Fatal,Male,Student,15,Teen
19930901KSJUJ,N/A,Wounded,Female,Student,14,Child
19930902TXROD,Black,Fatal,Male,Student,15,Teen
19930916ILROC,N/A,Fatal,,,Teen,Teen
19930917ILDOD,N/A,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,Teen,Teen
19930917WYCES,N/A,Minor Injuries,Male,Student,Teen,Teen
19930917WYCES,N/A,Minor Injuries,Male,Student,Teen,Teen
19930917WYCES,N/A,Minor Injuries,Male,Student,Teen,Teen
19930917WYCES,N/A,Minor Injuries,Female,Student,Teen,Teen
19930925DCWEW,N/A,Fatal,Male,No Relation,23,Adult
19930925DCWEW,N/A,Fatal,Female,No Relation,4,Child
19930928MSCOG,N/A,Fatal,Male,Student,Teen,Teen
19931012DEDON,N/A,None,Female,Student,16,Teen
19931018DCJHW,N/A,Wounded,Male,Student,13,Child
19931101ILSUC,N/A,Fatal,Male,Student,15,Teen
19931104CTNEN,N/A,Fatal,Male,Student,18,Adult
19931104FLTEJ,N/A,Fatal,Male,Student,14,Child
19931104MSBAB,N/A,Fatal,Male,Student,16,Teen
19931111ILRIS,N/A,Fatal,Male,No Relation,14,Child
19931201WIWAW,N/A,Fatal,Male,Teacher,46,Adult
19931202CTNEN,White,Fatal,Male,Student,18,Adult
19931208GABES,N/A,Fatal,Male,Student,15,Teen
19931215CACHS,N/A,Fatal,Male,Student,17,Teen
19931217MICHC,N/A,Fatal,Male,Other Staff,Adult,Adult
19931217MICHC,N/A,Wounded,Male,Teacher,Adult,Adult
19931217MICHC,N/A,Wounded,Male,Teacher,Adult,Adult
19940120CALOH,N/A,Fatal,Male,Student,17,Teen
19940121TXKEK,N/A,None,Male,Student,17,Teen
19940124SCEAC,N/A,Fatal,Male,Student,17,Teen
19940126DCELW,N/A,None,,,,Unknown
19940126DCPAW,N/A,None,,,,Unknown
19940127CAWAS,Hispanic,Fatal,Male,Parent,22,Adult
